Order Date,Product Name,Category,Region,Quantity,Sales,Cost,Profit
12/31/2024,Printer,Office,North,4,3640,3291.07,348.93
11/27/2022,Mouse,Accessories,East,7,1197,1090.47,106.53
5/11/2022,Tablet,Electronics,South,5,5865,5362.27,502.73
3/16/2024,Mouse,Accessories,South,2,786,583.13,202.87
9/10/2022,Mouse,Accessories,West,1,509,405.72,103.28
12/1/2023,Camera,Electronics,West,1,524,417.65,106.35
10/9/2023,Headphones,Accessories,North,7,6167,5139.02,1027.98
1/14/2022,Camera,Electronics,South,7,3059,2185.5,873.5
4/2/2022,Smartwatch,Electronics,East,9,5526,4930.72,595.28
10/22/2024,Printer,Office,South,8,672,485.63,186.37
12/4/2023,Monitor,Accessories,South,6,7074,5716.32,1357.68
9/27/2022,Smartwatch,Electronics,East,2,502,364.6,137.4
12/21/2023,Tablet,Electronics,North,7,7462,5295.83,2166.17
2/3/2024,Smartphone,Electronics,West,5,4205,3619.71,585.29
10/10/2023,Camera,Electronics,West,1,570,431.46,138.54
10/16/2022,Headphones,Accessories,East,1,441,338.58,102.42
5/15/2022,Mouse,Accessories,North,7,7469,6879.19,589.81
2/11/2023,Tablet,Electronics,South,2,2212,2066.25,145.75
12/27/2023,Tablet,Electronics,East,5,740,593.61,146.39
10/5/2023,Headphones,Accessories,North,1,662,468.08,193.92
3/5/2024,Mouse,Accessories,North,7,5712,5060.73,651.27
7/18/2023,Smartwatch,Electronics,North,3,2739,2166.27,572.73
6/25/2023,Keyboard,Accessories,West,5,1400,1186.37,213.63
11/13/2023,Printer,Office,North,3,3477,2537.8,939.2
7/9/2022,Camera,Electronics,North,5,3475,2904.64,570.36
12/11/2023,Laptop,Electronics,West,9,6138,4575.86,1562.14
3/18/2023,Camera,Electronics,West,5,3665,3258.07,406.93
8/9/2024,Printer,Office,North,2,2372,2165.58,206.42
5/4/2024,Laptop,Electronics,North,2,1382,1170.89,211.11
9/4/2022,Laptop,Electronics,West,1,1126,931.92,194.08
10/21/2022,Printer,Office,West,8,1376,1223.9,152.1
1/22/2024,Mouse,Accessories,West,4,988,840.09,147.91
4/9/2023,Laptop,Electronics,North,9,10773,8865.64,1907.36
2/7/2023,Headphones,Accessories,South,4,3252,2538.54,713.46
5/4/2023,Headphones,Accessories,North,3,2739,2536.19,202.81
4/18/2023,Tablet,Electronics,South,7,2709,2006.21,702.79
12/12/2022,Printer,Office,West,3,936,734.76,201.24
9/11/2022,Camera,Electronics,West,4,3720,3309.08,410.92
3/26/2024,Mouse,Accessories,West,5,5320,4603.09,716.91
9/20/2023,Headphones,Accessories,East,4,804,682.49,121.51
5/25/2023,Laptop,Electronics,North,8,1224,977.23,246.77
12/4/2022,Headphones,Accessories,South,9,8667,7885.22,781.78
6/10/2022,Monitor,Accessories,West,3,3018,2697.89,320.11
2/5/2023,Laptop,Electronics,West,5,4325,3301.61,1023.39
1/20/2024,Laptop,Electronics,South,3,1557,1375.92,181.08
1/27/2022,Monitor,Accessories,South,6,3672,2669.5,1002.5
3/29/2023,Mouse,Accessories,West,1,333,260.66,72.34
1/17/2022,Headphones,Accessories,West,4,2384,1806.74,577.26
11/26/2024,Mouse,Accessories,West,6,888,677.61,210.39
9/19/2024,Laptop,Electronics,West,5,3280,2325.83,954.17
7/20/2023,Mouse,Accessories,South,7,1239,1061.61,177.39
5/3/2024,Headphones,Accessories,East,8,5880,5443.15,436.85
9/3/2022,Smartphone,Electronics,West,2,1668,1230.7,437.3
7/9/2024,Printer,Office,West,7,4109,3071.36,1037.64
11/17/2022,Smartwatch,Electronics,West,7,595,446.5,148.5
12/28/2023,Headphones,Accessories,East,7,8155,6567.09,1587.91
5/30/2022,Monitor,Accessories,South,3,1872,1318.9,553.1
4/17/2024,Smartwatch,Electronics,East,6,2124,1997.97,126.03
9/30/2024,Monitor,Accessories,West,5,5210,3871.2,1338.8
6/2/2024,Mouse,Accessories,South,7,5761,5398.52,362.48
9/26/2022,Headphones,Accessories,South,7,6895,5298.65,1596.35
12/17/2024,Smartwatch,Electronics,East,3,2118,1800.92,317.08
10/9/2024,Smartwatch,Electronics,North,5,830,771.72,58.28
7/14/2023,Smartwatch,Electronics,North,1,851,757.44,93.56
12/5/2023,Tablet,Electronics,East,5,4730,3364.37,1365.63
6/3/2022,Mouse,Accessories,West,6,5460,4614.25,845.75
12/28/2024,Headphones,Accessories,East,5,5795,5484.4,310.6
8/6/2022,Laptop,Electronics,South,4,2008,1669.56,338.44
